fix_id|fault_id|fix_title|probability_rank|difficulty_level|est_parts_cost_min_usd|est_parts_cost_max_usd|est_labor_hours|step_by_step_instructions
1584|391|Replace the fuel rail (common rail) pressure sensor|3|Fleet technician|25.0|150.0|0.7|1. Confirm the sensor's live reading against a known-good reference (scan tool or hand-held meter) • 2. Remove and replace the sensor, torque per OEM spec • 3. Clear codes and verify the new reading tracks correctly
1585|391|Verify the underlying system condition the sensor is reporting|4|Fleet technician|0.0|400.0|1.0|1. Confirm whether the out-of-range reading reflects a real system fault or a bad sensor • 2. Inspect the related system for the root physical cause • 3. Repair as needed, then clear codes and re-verify
1838|456|Inspect and clean the fuel injector connector|1|Fleet technician|0.0|20.0|0.5|1. Key off, unplug the injector connector • 2. Check pins for corrosion, heat damage or a loose crimp • 3. Apply dielectric grease, reseat, clear codes
1839|456|Test the fuel injector driver circuit resistance and wiring|2|Fleet technician|5.0|70.0|1.3|1. Measure coil/solenoid resistance at the connector against OEM spec • 2. Check the harness back to the ECU/injector driver for opens or shorts • 3. Repair or replace the harness section as needed, clear codes
1840|456|Replace the fuel injector|3|Dealer / specialist|120.0|650.0|1.8|1. Confirm which cylinder/position is faulted from live data or cylinder cutout test • 2. Remove and replace the injector, use new seals/washers per OEM spec • 3. Torque to spec, prime the fuel system, clear codes and road-test
1841|456|Perform injector trim/coding reset after service|4|Dealer / specialist|0.0|150.0|0.8|1. Enter the injector serial/trim code from the new injector into the ECU (or reset adaptive trims) using the OEM diagnostic tool • 2. Clear codes • 3. Verify smooth idle and no misfire/imbalance codes return
2062|521|Free and clean the cylinder misfire/power-balance monitor|1|Fleet technician|10.0|80.0|0.9|1. Remove the valve and inspect for sticking, varnish or debris • 2. Clean and free the moving element, or replace if seized • 3. Reinstall, clear codes and verify
2063|521|Check the related system pressure and condition|2|Fleet technician|0.0|300.0|1.0|1. Verify the system pressure the valve regulates is within spec with a gauge • 2. Address any upstream cause (restriction, pump wear, contamination) • 3. Clear codes and re-verify
2064|521|Replace the cylinder misfire/power-balance monitor|3|Fleet technician|40.0|300.0|1.0|1. Remove the valve/assembly • 2. Fit the replacement with new seals per OEM spec • 3. Clear codes and verify correct operation
2296|586|Replace the engine pressure/temperature sensor (DCU-relayed)|1|Fleet technician|40.0|300.0|1.0|1. Confirm the fault follows the engine pressure/temperature sensor (DCU-relayed) and not the harness with a swap or resistance check • 2. Remove and replace the component, transferring any mounting hardware • 3. Clear codes and verify normal operation through a duty cycle
2297|586|Check engine pressure/temperature sensor (DCU-relayed) calibration/learned values with a service tool|2|Fleet technician|0.0|0.0|0.6|1. Connect a service tool and compare the sensor's live reading against a known reference (refractometer for DEF quality, a second sensor, or a bench check) • 2. Run the OEM's sensor learn/reset procedure if the reading is offset but the circuit tests good • 3. Clear codes and confirm the reading holds through a duty cycle
2298|586|Inspect, clean and reseat the engine pressure/temperature sensor (DCU-relayed) connector|3|Fleet technician|0.0|20.0|0.5|1. Key off, unplug the engine pressure/temperature sensor (DCU-relayed) circuit connector • 2. Check pins for corrosion, bent terminals and moisture intrusion, and check the harness for chafing near hot exhaust components • 3. Apply dielectric grease, reseat, clear codes and confirm the fault does not return
2299|586|Test the engine pressure/temperature sensor (DCU-relayed) circuit for opens, shorts and correct supply voltage|4|Fleet technician|5.0|60.0|1.0|1. Back-probe the circuit at the connector with the harness connected • 2. Check for supply voltage, continuity to the controller and resistance to ground/battery • 3. Repair the open, shorted or chafed conductor, reseal the splice, clear codes
2536|651|Replace a failed NOx or urea-quality sensor that has gone silent|1|Fleet technician|150.0|650.0|1.5|1. Confirm via the scan tool that the sensor itself, not just its wiring, has stopped responding • 2. Remove and replace the sensor per OEM torque and sealant specification • 3. Clear codes, run an aftertreatment regeneration/verification cycle and confirm the message returns
2537|651|Inspect the sending sensor/ECU connector and the shared backbone connector|2|Fleet technician|0.0|20.0|0.5|1. Key off, identify the sensor (NOx, urea quality) or ECU that should be sending the missing message • 2. Inspect its connector and the nearest backbone/drop-line connector for corrosion or looseness, including DEF-line proximity corrosion • 3. Clean, reseat, clear codes and retest
2538|651|Verify power and ground at the sending sensor/ECU|3|Fleet technician|5.0|40.0|0.8|1. Back-probe the sending device's power and ground pins • 2. Confirm battery/reference voltage is present and ground resistance is low • 3. Repair any open or corroded power or ground circuit found
2539|651|Confirm the sending device is present and addressing correctly on the bus|4|Fleet technician|0.0|0.0|0.8|1. Connect a J1939 scan tool and watch for the expected message (e.g. TSC1, NOx sensor data) • 2. Confirm the device claims its expected source address and message rate • 3. If it never appears on the bus, treat it as failed and proceed to component-level diagnosis
2786|716|Inspect and clean the EGR valve actuator connector|1|Fleet technician|0.0|20.0|0.5|1. Key off, unplug the EGR valve actuator • 2. Check pins for corrosion and the harness for chafing or heat damage near the exhaust • 3. Apply dielectric grease, reseat, clear codes and cycle the actuator with a service tool
2787|716|Test the EGR valve actuator motor/coil circuit|2|Fleet technician|5.0|70.0|1.2|1. Back-probe the motor or coil circuit at the connector • 2. Check winding resistance against spec and continuity/insulation to ground • 3. Repair chafed or shorted wiring, clear codes and re-test with a commanded sweep
2788|716|Replace the EGR valve actuator|3|Dealer / specialist|250.0|1400.0|2.0|1. Remove the EGR valve actuator assembly and its gasket/clamp • 2. Install the replacement, torque fasteners per spec and reconnect the harness • 3. Clear codes, run the actuator's self-calibration/learn procedure if the OEM tool supports one, and confirm normal operation
2789|716|Free up and clean a sticking EGR valve actuator|4|Fleet technician|30.0|250.0|1.5|1. Remove the EGR valve actuator (or access it in place per OEM procedure) • 2. Clean carbon and soot buildup from the bore/shaft with an approved solvent, working the shaft through its full travel • 3. Reinstall, clear codes and command a full-range sweep with a service tool to confirm smooth travel
3046|781|Replace the throttle position sensor|1|Fleet technician|30.0|220.0|0.9|1. Verify sensor air-gap or mounting per OEM spec • 2. Remove and replace the sensor and O-ring/seal • 3. Set the correct gap or torque, clear codes and verify signal quality on a scan tool
3047|781|Inspect and clean the throttle position sensor connector|2|Fleet technician|0.0|15.0|0.5|1. Key off, unplug the sensor connector • 2. Check pins for corrosion, bent terminals or oil/coolant intrusion • 3. Apply dielectric grease, reseat, clear codes
3048|781|Test the throttle position sensor signal and supply circuits|3|Fleet technician|5.0|60.0|1.3|1. Back-probe signal, ground and supply-voltage pins at the ECU connector • 2. Check for opens, shorts and correct reference voltage • 3. Repair chafed wiring or corroded splices, clear codes
3049|781|Check the sensed target (gear teeth, reluctor ring, linkage) for damage|4|Dealer / specialist|0.0|600.0|1.5|1. Inspect the reluctor wheel, gear teeth or mechanical linkage the sensor reads for damage, debris or wear • 2. Repair or replace the damaged component • 3. Reinstall the sensor, clear codes and verify
3291|846|Inspect and clean the engine oil pressure sensor connector|1|Fleet technician|0.0|15.0|0.5|1. Key off, unplug the sensor connector • 2. Check pins for corrosion, bent terminals or moisture intrusion • 3. Apply dielectric grease, reseat the connector, clear codes and recheck live data
3292|846|Test the engine oil pressure sensor signal, ground and reference circuits|2|Fleet technician|5.0|60.0|1.2|1. Back-probe the signal, ground and 5V/8V reference pins at the ECU connector • 2. Check for opens, shorts to ground/battery and resistance in range • 3. Repair chafed or corroded wiring, reseal splices, clear codes
3293|846|Replace the engine oil pressure sensor|3|Fleet technician|25.0|150.0|0.7|1. Confirm the sensor's live reading against a known-good reference (scan tool or hand-held meter) • 2. Remove and replace the sensor, torque per OEM spec • 3. Clear codes and verify the new reading tracks correctly
3294|846|Verify the underlying system condition the sensor is reporting|4|Fleet technician|0.0|400.0|1.0|1. Confirm whether the out-of-range reading reflects a real system fault or a bad sensor • 2. Inspect the related system for the root physical cause • 3. Repair as needed, then clear codes and re-verify
3547|911|Inspect and clean the ambient/barometric pressure sensor connector|1|Fleet technician|0.0|15.0|0.5|1. Key off, unplug the sensor connector • 2. Check pins for corrosion, bent terminals or moisture intrusion • 3. Apply dielectric grease, reseat the connector, clear codes and recheck live data
3548|911|Test the ambient/barometric pressure sensor signal, ground and reference circuits|2|Fleet technician|5.0|60.0|1.2|1. Back-probe the signal, ground and 5V/8V reference pins at the ECU connector • 2. Check for opens, shorts to ground/battery and resistance in range • 3. Repair chafed or corroded wiring, reseal splices, clear codes
3549|911|Replace the ambient/barometric pressure sensor|3|Fleet technician|25.0|150.0|0.7|1. Confirm the sensor's live reading against a known-good reference (scan tool or hand-held meter) • 2. Remove and replace the sensor, torque per OEM spec • 3. Clear codes and verify the new reading tracks correctly
3550|911|Verify the underlying system condition the sensor is reporting|4|Fleet technician|0.0|400.0|1.0|1. Confirm whether the out-of-range reading reflects a real system fault or a bad sensor • 2. Inspect the related system for the root physical cause • 3. Repair as needed, then clear codes and re-verify
3798|976|Check and top up the fluid level|1|Driver check|0.0|60.0|0.3|1. Check the level with the engine off on level ground against the dipstick/sight glass • 2. Top up with the correct fluid to the full mark • 3. Clear codes and recheck after a run cycle
3799|976|Replace the level sensor|2|Fleet technician|20.0|150.0|0.7|1. Confirm the actual fluid level is correct (rules out a genuine low-level condition) • 2. Remove and replace the level sensor/float • 3. Clear codes and verify the reading tracks correctly
3800|976|Test the level-sensor signal circuit|3|Fleet technician|5.0|60.0|1.0|1. Back-probe the sensor signal and ground pins • 2. Check for an open or short in the harness • 3. Repair as needed, clear codes
4047|1041|Replace the switch|1|Fleet technician|10.0|60.0|0.5|1. Remove the switch from the panel or chassis mount • 2. Install a new switch of the same type and rating • 3. Reconnect, cycle the switch and confirm the ESC reads the correct state
4048|1041|Inspect and clean the switch connector|2|Fleet technician|0.0|15.0|0.4|1. Key off, unplug the switch connector • 2. Check pins for corrosion, spread terminals • 3. Apply dielectric grease, reconnect and cycle the switch to confirm operation
4049|1041|Test the switch input circuit to the body controller|3|Fleet technician|8.0|80.0|1.0|1. Back-probe the input pin at the body controller while cycling the switch • 2. Check for the expected reference voltage and continuity to the switch • 3. Repair any open, short or corroded splice, clear and re-check
4050|1041|Verify the switch input configuration in Diamond Logic Builder|4|Dealer / specialist|0.0|150.0|0.8|1. Connect Diamond Logic Builder and read the switch input configuration • 2. Confirm the input logic (normally open/closed) matches the installed switch • 3. Reteach or reprogram if mismatched, then clear codes
4300|1106|Replace the engine control unit (ECU) (or the affected internal module)|1|Dealer / specialist|400.0|3500.0|3.0|1. Confirm the fault persists after a reflash and clean power/ground • 2. Replace the ECU/module and transfer or re-program its configuration data • 3. Clear codes and verify with a full system scan
4301|1106|Reflash/reprogram the engine control unit (ECU) with the latest calibration|2|Dealer / specialist|0.0|300.0|1.5|1. Connect the OEM diagnostic tool and check for a newer software/calibration release • 2. Reflash the ECU per the OEM procedure • 3. Clear codes, run a full DTC scan and road-test
4302|1106|Check ECU power, ground and case-connector integrity|3|Fleet technician|0.0|40.0|0.8|1. Key off, inspect the main ECU harness connectors for corrosion, bent pins or moisture intrusion • 2. Check the ECU's power and ground straps for a clean, tight connection • 3. Reseat, clear codes
4303|1106|Test ECU supply and ground circuit wiring for the affected channel|4|Fleet technician|5.0|80.0|1.2|1. Verify battery voltage reaches the ECU's power pins with the key on • 2. Check chassis ground points for corrosion or a poor connection • 3. Repair as needed, clear codes
4556|1171|Inspect and clean the fuel injector connector|1|Fleet technician|0.0|20.0|0.5|1. Key off, unplug the injector connector • 2. Check pins for corrosion, heat damage or a loose crimp • 3. Apply dielectric grease, reseat, clear codes
4557|1171|Replace the fuel injector|2|Dealer / specialist|120.0|650.0|1.8|1. Confirm which cylinder/position is faulted from live data or cylinder cutout test • 2. Remove and replace the injector, use new seals/washers per OEM spec • 3. Torque to spec, prime the fuel system, clear codes and road-test
4558|1171|Test the fuel injector driver circuit resistance and wiring|3|Fleet technician|5.0|70.0|1.3|1. Measure coil/solenoid resistance at the connector against OEM spec • 2. Check the harness back to the ECU/injector driver for opens or shorts • 3. Repair or replace the harness section as needed, clear codes
4559|1171|Perform injector trim/coding reset after service|4|Dealer / specialist|0.0|150.0|0.8|1. Enter the injector serial/trim code from the new injector into the ECU (or reset adaptive trims) using the OEM diagnostic tool • 2. Clear codes • 3. Verify smooth idle and no misfire/imbalance codes return
4809|1236|Test the turbocharger wastegate/bypass actuator driver circuit|1|Fleet technician|5.0|60.0|1.1|1. Measure coil resistance against OEM spec • 2. Check the drive and return wiring for opens or shorts to ground/battery • 3. Repair as needed, clear codes
4810|1236|Inspect and clean the turbocharger wastegate/bypass actuator connector|2|Fleet technician|0.0|15.0|0.5|1. Key off, unplug the actuator connector • 2. Check pins for corrosion or a loose crimp • 3. Apply dielectric grease, reseat, clear codes
4811|1236|Replace the turbocharger wastegate/bypass actuator|3|Fleet technician|40.0|350.0|1.2|1. Remove the actuator/solenoid and inspect the mating bore or linkage for wear or contamination • 2. Fit the replacement with new seals per OEM spec • 3. Clear codes and verify commanded movement on a scan tool
4812|1236|Free and verify mechanical movement of the actuated component|4|Fleet technician|0.0|300.0|1.0|1. Check the actuator moves the linkage/valve through its full range without binding or sticking • 2. Clean or free a sticking mechanism, or replace if seized • 3. Clear codes and re-verify commanded response
5053|1301|Inspect and clean the fuel rail (common rail) pressure sensor connector|1|Fleet technician|0.0|15.0|0.5|1. Key off, unplug the sensor connector • 2. Check pins for corrosion, bent terminals or moisture intrusion • 3. Apply dielectric grease, reseat the connector, clear codes and recheck live data
5054|1301|Test the fuel rail (common rail) pressure sensor signal, ground and reference circuits|2|Fleet technician|5.0|60.0|1.2|1. Back-probe the signal, ground and 5V/8V reference pins at the ECU connector • 2. Check for opens, shorts to ground/battery and resistance in range • 3. Repair chafed or corroded wiring, reseal splices, clear codes
5055|1301|Replace the fuel rail (common rail) pressure sensor|3|Fleet technician|25.0|150.0|0.7|1. Confirm the sensor's live reading against a known-good reference (scan tool or hand-held meter) • 2. Remove and replace the sensor, torque per OEM spec • 3. Clear codes and verify the new reading tracks correctly
5056|1301|Verify the underlying system condition the sensor is reporting|4|Fleet technician|0.0|400.0|1.0|1. Confirm whether the out-of-range reading reflects a real system fault or a bad sensor • 2. Inspect the related system for the root physical cause • 3. Repair as needed, then clear codes and re-verify
5300|1366|Reprogram or update the linked device's configuration/firmware|1|Dealer / specialist|0.0|200.0|1.2|1. Connect the OEM service tool to the ECU that owns the proprietary link • 2. Check for a required configuration file or firmware update for the linked device • 3. Apply the update, clear codes and confirm normal communication resumes
5301|1366|Replace the linked smart sensor, actuator or gateway/bridge module|2|Fleet technician|50.0|700.0|1.5|1. Confirm via the OEM tool that the linked device itself, not just its wiring, has stopped communicating • 2. Remove and replace the smart sensor, actuator or gateway/bridge module • 3. Clear codes and confirm the link re-establishes on the next power cycle
5302|1366|Inspect the sub-network or smart-device connector|3|Fleet technician|0.0|20.0|0.5|1. Key off, identify the smart sensor/actuator or the proprietary 'Machine'/implement CAN segment reporting the fault • 2. Inspect its connector and any bridge/gateway connector on that segment for corrosion or looseness • 3. Clean, reseat, clear codes and retest
5303|1366|Verify power, ground and continuity on the proprietary link|4|Fleet technician|5.0|60.0|1.0|1. Back-probe the linked device's power and ground pins and confirm battery voltage and a clean ground • 2. Check continuity and check for a short to power or ground on the dedicated sub-network pair • 3. Repair any wiring fault found
5538|1431|Replace the NOx sensor, upstream of SCR|1|Dealer / specialist|300.0|700.0|1.2|1. Confirm the fault follows the NOx sensor, upstream of SCR and not the harness with a swap or resistance check • 2. Remove and replace the sensor at its mounting boss (exhaust pipe for NOx/O2/NH3 sensors, DEF tank for a quality sensor), torquing/sealing per spec - these are heated, CAN-networked smart sensors; aftermarket HD units commonly run $300-700 • 3. Clear codes, allow the sensor to complete its power-up self-test, and verify normal operation through a duty cycle
5539|1431|Check NOx sensor, upstream of SCR calibration/learned values with a service tool|2|Fleet technician|0.0|0.0|0.6|1. Connect a service tool and compare the sensor's live reading against a known reference (refractometer for DEF quality, a second sensor, or a bench check) • 2. Run the OEM's sensor learn/reset procedure if the reading is offset but the circuit tests good • 3. Clear codes and confirm the reading holds through a duty cycle
5540|1431|Inspect, clean and reseat the NOx sensor, upstream of SCR connector|3|Fleet technician|0.0|25.0|0.5|1. Key off, unplug the NOx sensor, upstream of SCR circuit connector • 2. Check pins for corrosion, bent terminals and moisture intrusion, and check the harness for chafing near hot exhaust components • 3. Apply dielectric grease, reseat, clear codes and confirm the fault does not return
5541|1431|Test the NOx sensor, upstream of SCR heater, signal and CAN sub-network circuits|4|Fleet technician|5.0|80.0|1.2|1. Back-probe the heater supply, signal and network pins at the connector • 2. Check for battery voltage at the heater pin, correct signal reference and continuity/termination on the sensor's local CAN sub-network • 3. Repair the open, shorted or chafed conductor, reseal the splice, clear codes
5794|1496|Replace the engine control unit (ECU) (or the affected internal module)|1|Dealer / specialist|400.0|3500.0|3.0|1. Confirm the fault persists after a reflash and clean power/ground • 2. Replace the ECU/module and transfer or re-program its configuration data • 3. Clear codes and verify with a full system scan
5795|1496|Check ECU power, ground and case-connector integrity|2|Fleet technician|0.0|40.0|0.8|1. Key off, inspect the main ECU harness connectors for corrosion, bent pins or moisture intrusion • 2. Check the ECU's power and ground straps for a clean, tight connection • 3. Reseat, clear codes
5796|1496|Test ECU supply and ground circuit wiring for the affected channel|3|Fleet technician|5.0|80.0|1.2|1. Verify battery voltage reaches the ECU's power pins with the key on • 2. Check chassis ground points for corrosion or a poor connection • 3. Repair as needed, clear codes
5797|1496|Reflash/reprogram the engine control unit (ECU) with the latest calibration|4|Dealer / specialist|0.0|300.0|1.5|1. Connect the OEM diagnostic tool and check for a newer software/calibration release • 2. Reflash the ECU per the OEM procedure • 3. Clear codes, run a full DTC scan and road-test
6032|1561|Replace the regulator/relay supplying the 5V/8V sensor supply rail|1|Fleet technician|15.0|150.0|0.8|1. Confirm the supply is out of spec at the ECU's own output pin (points to the ECU/regulator, not the wiring) • 2. Replace the affected relay or, if internal, the ECU • 3. Clear codes and verify
6033|1561|Inspect connectors on all circuits fed by the 5V/8V sensor supply rail|2|Fleet technician|0.0|20.0|0.7|1. Key off, inspect every sensor connector sharing this supply rail for corrosion or water intrusion • 2. Clean and reseat as needed • 3. Clear codes and recheck rail voltage
6034|1561|Test the 5V/8V sensor supply rail for a short or excessive load|3|Fleet technician|5.0|60.0|1.1|1. Measure the supply rail voltage at the ECU connector against OEM spec with all sensors connected, then with each disconnected in turn • 2. Isolate the shorted or overloaded branch • 3. Repair the wiring/sensor causing the short, clear codes
6271|1626|Replace the DEF tank heating valve|1|Fleet technician|40.0|300.0|1.0|1. Confirm the fault follows the DEF tank heating valve and not the harness with a swap or resistance check • 2. Remove and replace the component, transferring any mounting hardware • 3. Clear codes and verify normal operation through a duty cycle
6272|1626|Inspect, clean and reseat the DEF tank heating valve connector|2|Fleet technician|0.0|20.0|0.5|1. Key off, unplug the DEF tank heating valve circuit connector • 2. Check pins for corrosion, bent terminals and moisture intrusion, and check the harness for chafing near hot exhaust components • 3. Apply dielectric grease, reseat, clear codes and confirm the fault does not return
6273|1626|Test the DEF tank heating valve circuit for opens, shorts and correct supply voltage|3|Fleet technician|5.0|60.0|1.0|1. Back-probe the circuit at the connector with the harness connected • 2. Check for supply voltage, continuity to the controller and resistance to ground/battery • 3. Repair the open, shorted or chafed conductor, reseal the splice, clear codes
6516|1691|Replace the DEF line heater|1|Fleet technician|40.0|300.0|1.0|1. Confirm the fault follows the DEF line heater and not the harness with a swap or resistance check • 2. Remove and replace the component, transferring any mounting hardware • 3. Clear codes and verify normal operation through a duty cycle
6517|1691|Inspect, clean and reseat the DEF line heater connector|2|Fleet technician|0.0|20.0|0.5|1. Key off, unplug the DEF line heater circuit connector • 2. Check pins for corrosion, bent terminals and moisture intrusion, and check the harness for chafing near hot exhaust components • 3. Apply dielectric grease, reseat, clear codes and confirm the fault does not return
6518|1691|Test the DEF line heater circuit for opens, shorts and correct supply voltage|3|Fleet technician|5.0|60.0|1.0|1. Back-probe the circuit at the connector with the harness connected • 2. Check for supply voltage, continuity to the controller and resistance to ground/battery • 3. Repair the open, shorted or chafed conductor, reseal the splice, clear codes
6726|1756|Replace the SCR catalyst temperature sensor|1|Fleet technician|70.0|250.0|0.7|1. Confirm engine is cool enough to work near the exhaust • 2. Remove the SCR catalyst temperature sensor from its boss in the exhaust stream, note anti-seize on the new sensor's threads • 3. Install, torque per spec, clear codes and confirm the reading agrees with an infrared thermometer at operating temperature
6727|1756|Inspect and clean the SCR catalyst temperature sensor connector|2|Fleet technician|0.0|20.0|0.4|1. Key off, unplug the SCR catalyst temperature sensor • 2. Check pins for corrosion, heat damage and moisture intrusion • 3. Apply high-temperature dielectric grease, reseat, clear codes and confirm the reading updates with engine and exhaust temperature
6728|1756|Test the SCR catalyst temperature sensor signal and return circuit|3|Fleet technician|5.0|60.0|1.2|1. Back-probe the signal and return pins at the connector • 2. Check resistance across the sensor against the OEM temperature/resistance table and continuity to the ECU/DCU • 3. Repair open or shorted wiring, reseal the splice, clear codes and confirm the reading tracks plausibly
6949|1821|Inspect and clean the dashboard warning lamp or indicator connector|1|Fleet technician|0.0|10.0|0.3|1. Key off, unplug the lamp/indicator connector • 2. Check pins for corrosion or a loose crimp • 3. Apply dielectric grease, reseat, clear codes
6950|1821|Test the dashboard warning lamp or indicator output driver circuit|2|Fleet technician|5.0|45.0|0.8|1. Back-probe the output pin at the ECU/module connector • 2. Check for a short to ground/battery or an open in the wiring to the lamp/indicator • 3. Repair as needed, clear codes
6951|1821|Replace the failed bulb, LED module or indicator|3|Fleet technician|5.0|60.0|0.4|1. Confirm the bulb/LED itself is not simply burned out • 2. Replace the bulb or indicator module • 3. Clear codes and verify the indicator responds to a commanded test
7187|1886|Replace the DEF line heater|1|Fleet technician|40.0|300.0|1.0|1. Confirm the fault follows the DEF line heater and not the harness with a swap or resistance check • 2. Remove and replace the component, transferring any mounting hardware • 3. Clear codes and verify normal operation through a duty cycle
